date,price
316,1109.5
317,1116.0
318,1124.0
319,1133.25
320,1146.5
321,1156.0
322,1163.5
323,1149.25
324,1159.0
325,1151.25
326,1157.0
327,1127.5
328,1142.5
329,1143.75
330,1144.25
331,1140.0
332,1154.0
333,1152.25
334,1164.25
335,1170.0
336,1175.25
337,1184.25
338,1172.0
339,1178.0
340,1199.6
341,1188.25
342,1209.0
343,1241.25
344,1235.0
345,1238.75
346,1230.25
347,1215.0
348,1209.5
349,1187.25
350,1183.5
351,1183.75
352,1189.5
353,1212.5
354,1210.75
355,1214.0
356,1219.75
357,1221.0
358,1219.75
359,1203.5
360,1212.4
361,1248.0
362,1235.0
363,1220.0
364,1220.5
365,1229.5
366,1223.0
367,1235.5
368,1234.5
369,1244.0
370,1259.5
371,1235.25
372,1243.0
373,1233.25
374,1242.5
375,1256.0
376,1236.0
377,1240.5
378,1240.0
379,1210.5
380,1208.5
381,1210.75
382,1186.0
383,1201.25
384,1196.25
385,1203.75
386,1206.5
387,1212.25
388,1211.75
389,1204.75
390,1190.25
391,1181.5
392,1191.25
393,1187.0
394,1198.75
395,1189.0
396,1184.0
397,1164.0
398,1166.0
399,1168.0
400,1178.0
401,1184.0
402,1194.5
403,1195.5
404,1194.5
405,1206.0
406,1196.75
407,1198.0
408,1200.0
409,1215.0
410,1222.0
411,1226.25
412,1223.0
413,1228.0
414,1230.5
415,1227.0
416,1218.0
417,1237.5
418,1240.25
419,1234.5
420,1233.5
421,1250.0
422,1247.75
423,1252.0
424,1249.5
425,1247.25
426,1258.0
427,1253.5
428,1248.75
429,1243.0
430,1253.25
431,1270.4
432,1271.25
433,1281.5
434,1280.25
435,1278.75
436,1291.75
437,1291.5
438,1298.0
439,1298.25
440,1289.0
441,1307.5
442,1311.0
443,1313.0
444,1316.0
445,1325.75
446,1347.0
447,1359.5
448,1330.5
449,1348.5
450,1343.5
451,1358.5
452,1380.75
453,1377.25
454,1359.75
455,1367.75
456,1340.5
457,1345.25
458,1319.0
459,1345.0
460,1334.0
461,1332.25
462,1326.5
463,1336.75
464,1361.5
465,1358.0
466,1358.5
467,1361.0
468,1384.25
469,1390.0
470,1416.25
471,1402.0
472,1413.0
473,1387.0
474,1367.0
475,1363.25
476,1336.5
477,1356.75
478,1357.5
479,1357.5
480,1361.0
481,1376.25
482,1370.5
483,1366.5
484,1360.0
485,1375.0
486,1391.5
487,1390.0
488,1391.75
489,1411.5
490,1426.0
491,1395.0
492,1382.0
493,1390.0
494,1388.25
495,1405.0
496,1388.25
497,1384.0
498,1374.75
499,1381.0
500,1386.0
501,1389.0
502,1384.0
503,1380.5
504,1403.5
505,1411.5
506,1410.25
507,1405.5
508,1382.75
509,1376.0
510,1358.0
511,1368.25
512,1381.0
513,1383.5
514,1380.75
515,1369.25
516,1357.5
517,1368.75
518,1373.75
519,1364.5
